source_file,scene_id,label
a-serious-man-2009-full-transcript-txt.json,1,curiosity
a-serious-man-2009-full-transcript-txt.json,2,neutral
a-serious-man-2009-full-transcript-txt.json,3,curiosity
a-serious-man-2009-full-transcript-txt.json,4,curiosity
a-serious-man-2009-full-transcript-txt.json,5,curiosity
a-serious-man-2009-full-transcript-txt.json,6,curiosity
a-serious-man-2009-full-transcript-txt.json,7,neutral
a-serious-man-2009-full-transcript-txt.json,8,gratitude
a-serious-man-2009-full-transcript-txt.json,9,neutral
a-history-of-violence-2005-full-transcript-txt.json,1,fear
a-history-of-violence-2005-full-transcript-txt.json,2,admiration
a-history-of-violence-2005-full-transcript-txt.json,3,curiosity
a-history-of-violence-2005-full-transcript-txt.json,4,gratitude
a-history-of-violence-2005-full-transcript-txt.json,5,curiosity
a-history-of-violence-2005-full-transcript-txt.json,6,curiosity
a-history-of-violence-2005-full-transcript-txt.json,7,curiosity
a-history-of-violence-2005-full-transcript-txt.json,8,curiosity
a-history-of-violence-2005-full-transcript-txt.json,9,anger
a-history-of-violence-2005-full-transcript-txt.json,10,surprise
a-history-of-violence-2005-full-transcript-txt.json,11,curiosity
a-history-of-violence-2005-full-transcript-txt.json,12,curiosity
a-history-of-violence-2005-full-transcript-txt.json,13,anger
akira-1988-full-transcript-txt.json,1,curiosity
akira-1988-full-transcript-txt.json,2,curiosity
akira-1988-full-transcript-txt.json,3,gratitude
akira-1988-full-transcript-txt.json,4,gratitude
akira-1988-full-transcript-txt.json,5,curiosity
akira-1988-full-transcript-txt.json,6,curiosity
akira-1988-full-transcript-txt.json,7,curiosity
akira-1988-full-transcript-txt.json,8,curiosity
akira-1988-full-transcript-txt.json,9,curiosity
akira-1988-full-transcript-txt.json,10,anger
akira-1988-full-transcript-txt.json,11,curiosity
akira-1988-full-transcript-txt.json,12,fear
akira-1988-full-transcript-txt.json,13,neutral
akira-1988-full-transcript-txt.json,14,anger
akira-1988-full-transcript-txt.json,15,curiosity
akira-1988-full-transcript-txt.json,16,anger
akira-1988-full-transcript-txt.json,17,caring
akira-1988-full-transcript-txt.json,18,curiosity
american-psycho-2000-full-transcript-txt.json,1,optimism
american-psycho-2000-full-transcript-txt.json,2,neutral
american-psycho-2000-full-transcript-txt.json,3,curiosity
american-psycho-2000-full-transcript-txt.json,4,gratitude
american-psycho-2000-full-transcript-txt.json,5,admiration
american-psycho-2000-full-transcript-txt.json,6,gratitude
american-psycho-2000-full-transcript-txt.json,7,admiration
american-psycho-2000-full-transcript-txt.json,8,curiosity
american-psycho-2000-full-transcript-txt.json,9,curiosity
american-psycho-2000-full-transcript-txt.json,10,admiration
american-psycho-2000-full-transcript-txt.json,11,admiration
american-psycho-2000-full-transcript-txt.json,12,admiration
american-psycho-2000-full-transcript-txt.json,13,curiosity
american-psycho-2000-full-transcript-txt.json,14,curiosity
american-psycho-2000-full-transcript-txt.json,15,curiosity
american-psycho-2000-full-transcript-txt.json,16,curiosity
american-psycho-2000-full-transcript-txt.json,17,admiration
american-psycho-2000-full-transcript-txt.json,18,curiosity
american-psycho-2000-full-transcript-txt.json,19,annoyance
american-psycho-2000-full-transcript-txt.json,20,neutral
annihilation-2018-full-transcript-txt.json,1,confusion
annihilation-2018-full-transcript-txt.json,2,curiosity
annihilation-2018-full-transcript-txt.json,3,curiosity
annihilation-2018-full-transcript-txt.json,4,annoyance
annihilation-2018-full-transcript-txt.json,5,neutral
annihilation-2018-full-transcript-txt.json,6,curiosity
annihilation-2018-full-transcript-txt.json,7,realization
annihilation-2018-full-transcript-txt.json,8,curiosity
annihilation-2018-full-transcript-txt.json,9,confusion
annihilation-2018-full-transcript-txt.json,10,neutral
annihilation-2018-full-transcript-txt.json,11,fear
annihilation-2018-full-transcript-txt.json,12,confusion
antichrist-2009-full-transcript-txt.json,1,neutral
antichrist-2009-full-transcript-txt.json,11,neutral
antichrist-2009-full-transcript-txt.json,13,confusion
antichrist-2009-full-transcript-txt.json,14,caring
antichrist-2009-full-transcript-txt.json,16,sadness
antichrist-2009-full-transcript-txt.json,18,caring
antichrist-2009-full-transcript-txt.json,21,neutral
antichrist-2009-full-transcript-txt.json,22,curiosity
antichrist-2009-full-transcript-txt.json,25,neutral
antichrist-2009-full-transcript-txt.json,30,curiosity
antichrist-2009-full-transcript-txt.json,32,curiosity
antichrist-2009-full-transcript-txt.json,64,caring
antichrist-2009-full-transcript-txt.json,65,neutral
antichrist-2009-full-transcript-txt.json,67,neutral
antichrist-2009-full-transcript-txt.json,69,realization
antichrist-2009-full-transcript-txt.json,70,curiosity
antichrist-2009-full-transcript-txt.json,71,approval
antichrist-2009-full-transcript-txt.json,72,fear
antichrist-2009-full-transcript-txt.json,75,neutral
antichrist-2009-full-transcript-txt.json,77,curiosity
antichrist-2009-full-transcript-txt.json,80,caring
antichrist-2009-full-transcript-txt.json,82,caring
antichrist-2009-full-transcript-txt.json,87,fear
antichrist-2009-full-transcript-txt.json,88,approval
antichrist-2009-full-transcript-txt.json,93,admiration
antichrist-2009-full-transcript-txt.json,95,approval
antichrist-2009-full-transcript-txt.json,96,admiration
antichrist-2009-full-transcript-txt.json,100,fear
antichrist-2009-full-transcript-txt.json,113,neutral
antichrist-2009-full-transcript-txt.json,115,admiration
antichrist-2009-full-transcript-txt.json,116,realization
antichrist-2009-full-transcript-txt.json,117,neutral
antichrist-2009-full-transcript-txt.json,118,neutral
antichrist-2009-full-transcript-txt.json,120,neutral
antichrist-2009-full-transcript-txt.json,121,gratitude
antichrist-2009-full-transcript-txt.json,122,neutral
antichrist-2009-full-transcript-txt.json,123,neutral
antichrist-2009-full-transcript-txt.json,128,curiosity
antichrist-2009-full-transcript-txt.json,129,curiosity
antichrist-2009-full-transcript-txt.json,131,confusion
antichrist-2009-full-transcript-txt.json,132,sadness
antichrist-2009-full-transcript-txt.json,134,disapproval
antichrist-2009-full-transcript-txt.json,136,neutral
antichrist-2009-full-transcript-txt.json,139,neutral
antichrist-2009-full-transcript-txt.json,140,disgust
antichrist-2009-full-transcript-txt.json,142,anger
antichrist-2009-full-transcript-txt.json,187,anger
antichrist-2009-full-transcript-txt.json,191,neutral
antichrist-2009-full-transcript-txt.json,193,curiosity
antichrist-2009-full-transcript-txt.json,194,neutral
antichrist-2009-full-transcript-txt.json,203,neutral
arrival-2016-full-transcript-txt.json,1,curiosity
arrival-2016-full-transcript-txt.json,2,curiosity
arrival-2016-full-transcript-txt.json,3,curiosity
arrival-2016-full-transcript-txt.json,4,curiosity
arrival-2016-full-transcript-txt.json,5,caring
arrival-2016-full-transcript-txt.json,6,curiosity
arrival-2016-full-transcript-txt.json,7,neutral
arrival-2016-full-transcript-txt.json,8,curiosity
arrival-2016-full-transcript-txt.json,9,neutral
arrival-2016-full-transcript-txt.json,10,gratitude
arrival-2016-full-transcript-txt.json,11,curiosity
arrival-2016-full-transcript-txt.json,12,neutral
arrival-2016-full-transcript-txt.json,13,curiosity
arrival-2016-full-transcript-txt.json,14,neutral
arrival-2016-full-transcript-txt.json,15,curiosity
arrival-2016-full-transcript-txt.json,16,realization
arrival-2016-full-transcript-txt.json,17,curiosity
arrival-2016-full-transcript-txt.json,18,surprise
black-swan-2010-full-transcript-txt.json,1,admiration
black-swan-2010-full-transcript-txt.json,2,admiration
black-swan-2010-full-transcript-txt.json,3,admiration
black-swan-2010-full-transcript-txt.json,4,admiration
black-swan-2010-full-transcript-txt.json,5,admiration
black-swan-2010-full-transcript-txt.json,6,anger
black-swan-2010-full-transcript-txt.json,7,gratitude
black-swan-2010-full-transcript-txt.json,8,anger
black-swan-2010-full-transcript-txt.json,9,amusement
black-swan-2010-full-transcript-txt.json,10,admiration
black-swan-2010-full-transcript-txt.json,11,admiration
black-swan-2010-full-transcript-txt.json,12,caring
black-swan-2010-full-transcript-txt.json,13,admiration
barton-fink-1991-full-transcript-txt.json,1,neutral
barton-fink-1991-full-transcript-txt.json,2,neutral
barton-fink-1991-full-transcript-txt.json,3,neutral
barton-fink-1991-full-transcript-txt.json,4,gratitude
barton-fink-1991-full-transcript-txt.json,5,admiration
barton-fink-1991-full-transcript-txt.json,6,neutral
barton-fink-1991-full-transcript-txt.json,7,curiosity
barton-fink-1991-full-transcript-txt.json,8,curiosity
barton-fink-1991-full-transcript-txt.json,9,admiration
barton-fink-1991-full-transcript-txt.json,10,neutral
barton-fink-1991-full-transcript-txt.json,11,optimism
barton-fink-1991-full-transcript-txt.json,12,optimism
barton-fink-1991-full-transcript-txt.json,13,admiration
barton-fink-1991-full-transcript-txt.json,14,fear
barton-fink-1991-full-transcript-txt.json,15,curiosity
barton-fink-1991-full-transcript-txt.json,16,admiration
barton-fink-1991-full-transcript-txt.json,17,caring
barton-fink-1991-full-transcript-txt.json,18,curiosity
barton-fink-1991-full-transcript-txt.json,19,neutral
barton-fink-1991-full-transcript-txt.json,20,neutral
barton-fink-1991-full-transcript-txt.json,21,disappointment
barton-fink-1991-full-transcript-txt.json,22,admiration
being-john-malkovich-1999-full-transcript-txt.json,1,gratitude
being-john-malkovich-1999-full-transcript-txt.json,2,curiosity
being-john-malkovich-1999-full-transcript-txt.json,3,curiosity
being-john-malkovich-1999-full-transcript-txt.json,4,fear
being-john-malkovich-1999-full-transcript-txt.json,5,curiosity
being-john-malkovich-1999-full-transcript-txt.json,6,neutral
being-john-malkovich-1999-full-transcript-txt.json,7,curiosity
being-john-malkovich-1999-full-transcript-txt.json,8,curiosity
being-john-malkovich-1999-full-transcript-txt.json,9,admiration
being-john-malkovich-1999-full-transcript-txt.json,10,gratitude
being-john-malkovich-1999-full-transcript-txt.json,11,gratitude
being-john-malkovich-1999-full-transcript-txt.json,12,love
being-john-malkovich-1999-full-transcript-txt.json,13,fear
being-john-malkovich-1999-full-transcript-txt.json,14,gratitude
being-john-malkovich-1999-full-transcript-txt.json,15,surprise
being-john-malkovich-1999-full-transcript-txt.json,16,gratitude
being-john-malkovich-1999-full-transcript-txt.json,17,admiration
being-john-malkovich-1999-full-transcript-txt.json,18,admiration
being-john-malkovich-1999-full-transcript-txt.json,19,anger
being-john-malkovich-1999-full-transcript-txt.json,20,love
being-john-malkovich-1999-full-transcript-txt.json,21,gratitude
blackhat-2015-full-transcript-txt.json,1,neutral
blackhat-2015-full-transcript-txt.json,2,neutral
blackhat-2015-full-transcript-txt.json,3,neutral
blackhat-2015-full-transcript-txt.json,4,curiosity
blackhat-2015-full-transcript-txt.json,5,curiosity
blackhat-2015-full-transcript-txt.json,6,curiosity
blackhat-2015-full-transcript-txt.json,7,curiosity
blackhat-2015-full-transcript-txt.json,8,neutral
