source_file,title,year,scene_id,json_path
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,1,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,2,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,3,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,4,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,5,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,6,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,7,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,8,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,9,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,10,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,11,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,12,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,13,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,14,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,15,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,16,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,17,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,18,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,19,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,20,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,21,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,22,processed3_transcripts333/a-beautiful-mind-2001-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,1,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,2,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,3,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,4,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,5,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,6,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,7,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,8,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,9,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,10,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,11,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,12,processed3_transcripts333/a-belfast-story-2013-full-transcript-txt.json
